rank,field,years_since,years_service,sex,salary
Prof,Applied,19,18,Male,139750
Prof,Applied,20,16,Male,173200
AsstProf,Applied,4,3,Male,79750
Prof,Applied,45,39,Male,115000
Prof,Applied,40,41,Male,141500
AssocProf,Applied,6,6,Male,97000
Prof,Applied,30,23,Male,175000
Prof,Applied,45,45,Male,147765
Prof,Applied,21,20,Male,119250
Prof,Applied,18,18,Female,129000
AssocProf,Applied,12,8,Male,119800
AsstProf,Applied,7,2,Male,79800
AsstProf,Applied,1,1,Male,77700
AsstProf,Applied,2,0,Male,78000
Prof,Applied,20,18,Male,104800
Prof,Applied,12,3,Male,117150
Prof,Applied,19,20,Male,101000
Prof,Theoretical,38,34,Male,103450
Prof,Theoretical,37,23,Male,124750
Prof,Theoretical,39,36,Female,137000
Prof,Theoretical,31,26,Male,89565
Prof,Theoretical,36,31,Male,102580
Prof,Theoretical,34,30,Male,93904
Prof,Theoretical,24,19,Male,113068
AssocProf,Theoretical,13,8,Female,74830
Prof,Theoretical,21,8,Male,106294
Prof,Theoretical,35,23,Male,134885
AsstProf,Applied,5,3,Male,82379
AsstProf,Applied,11,0,Male,77000
Prof,Applied,12,8,Male,118223
Prof,Applied,20,4,Male,132261
AsstProf,Applied,7,2,Male,79916
Prof,Applied,13,9,Male,117256
AsstProf,Applied,4,2,Male,80225
AsstProf,Applied,4,2,Female,80225
AsstProf,Applied,5,0,Female,77000
Prof,Applied,22,21,Male,155750
AsstProf,Applied,7,4,Male,86373
Prof,Applied,41,31,Male,125196
AssocProf,Applied,9,9,Male,100938
Prof,Applied,23,2,Male,146500
AssocProf,Applied,23,23,Male,93418
Prof,Applied,40,27,Male,101299
Prof,Applied,38,38,Male,231545
Prof,Applied,19,19,Male,94384
Prof,Applied,25,15,Male,114778
Prof,Applied,40,28,Male,98193
Prof,Applied,23,19,Female,151768
Prof,Applied,25,25,Female,140096
AsstProf,Applied,1,1,Male,70768
Prof,Applied,28,28,Male,126621
Prof,Applied,12,11,Male,108875
AsstProf,Applied,11,3,Female,74692
Prof,Applied,16,9,Male,106639
AssocProf,Applied,12,11,Male,103760
AssocProf,Applied,14,5,Male,83900
Prof,Applied,23,21,Male,117704
AssocProf,Applied,9,8,Male,90215
AssocProf,Applied,10,9,Male,100135
AsstProf,Applied,8,3,Male,75044
AssocProf,Applied,9,8,Male,90304
AsstProf,Applied,3,2,Male,75243
Prof,Applied,33,31,Male,109785
AssocProf,Applied,11,11,Female,103613
AsstProf,Applied,4,3,Male,68404
AssocProf,Applied,9,8,Male,100522
Prof,Applied,22,12,Male,101000
Prof,Applied,35,31,Male,99418
Prof,Applied,17,17,Female,111512
Prof,Applied,28,36,Male,91412
Prof,Applied,17,2,Male,126320
Prof,Applied,45,45,Male,146856
Prof,Applied,29,19,Male,100131
Prof,Applied,35,34,Male,92391
Prof,Applied,28,23,Male,113398
AsstProf,Applied,8,3,Male,73266
Prof,Applied,17,3,Male,150480
Prof,Applied,26,19,Male,193000
AsstProf,Applied,3,1,Male,86100
AsstProf,Applied,6,2,Male,84240
Prof,Applied,43,28,Male,150743
Prof,Applied,17,16,Male,135585
Prof,Applied,22,20,Male,144640
AsstProf,Applied,6,2,Male,88825
Prof,Applied,17,18,Female,122960
Prof,Applied,15,14,Male,132825
Prof,Applied,37,37,Male,152708
AsstProf,Applied,2,2,Male,88400
Prof,Applied,25,25,Male,172272
AssocProf,Applied,9,7,Male,107008
AsstProf,Applied,10,5,Female,97032
